,Unnamed: 0,DR_NO,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON,year,month,hour,crime_type,theft,vehicular
491263,491263,231309376,1145,12,Newton,695,0,84,BRANDISH WEAPON,0334 0913 0446 0447 0416 0602 0561,26,2,2,126,SINGLE FAMILY DWELLING,32,OTHER KNIFE,3,Invest Cont,85,5100 S  MAIN                         ST,BROADWAY,2029,3799,3,3,11,1,0,0
314314,314314,221915659,600,18,Mission,1077,1,62,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1814 2000 0416,17,0,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",0,Adult Arrest,63,8800    TOBIAS                       AV,BROADWAY,4328,2056,2,9,6,1,0,0
473775,473775,221913123,1000,18,Mission,1074,1,61,OTHER ASSAULT,0356 1822,49,0,7,72,LAUNDROMAT,62,UNKNOWN WEAPON/OTHER WEAPON,3,Invest Cont,62,SEPULVEDA,PARTHENIA,4336,1898,2,7,10,1,0,0
156985,156985,210211714,355,1,Rampart,89,0,9,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 1814 1300 0302 0334 1309 1307 2000 1270 0906,23,0,2,0,STREET,1,HAND GUN,1,Adult Other,9,LAKE,8TH                          ST,2585,3784,1,6,3,1,0,0
420036,420036,221209834,545,11,77th Street,645,0,15,BURGLARY FROM VEHICLE,1822 0344 1607,34,2,7,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,3500    HYDE PARK                    BL,BROADWAY,1837,3235,2,3,5,0,0,1
115253,115253,202109661,2030,20,Topanga,1163,0,13,BURGLARY,0358 0344,33,2,18,53,OTHER BUSINESS,62,UNKNOWN WEAPON/OTHER WEAPON,3,Invest Cont,13,20200    SHERMAN                      WY,BROADWAY,4076,888,0,4,20,0,1,0
171087,171087,212008548,2300,19,Olympic,1105,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0340 0334 0432 2004,31,0,12,8,PARK/PLAYGROUND,45,SYRINGE,0,Adult Arrest,6,WILSHIRE,COMMONWEALTH,2649,3717,1,3,23,0,0,0
407463,407463,220404581,1700,3,Hollenbeck,172,1,78,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,29,2,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,79,300 W  AVENUE 26,BROADWAY,2829,4388,2,0,17,0,0,0
637266,637266,231907840,1700,18,Mission,1033,1,78,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,45,2,18,21,"VEHICLE, PASSENGER/TRUCK",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,79,15900    VALLEY VIEW                  CT,BROADWAY,5094,1786,3,3,17,0,0,0
9632,9632,201810020,1200,17,Southeast,1014,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1310 0104 0319 0449 0443 1822 1278 0858,31,2,7,0,STREET,32,OTHER KNIFE,3,Invest Cont,6,1500 E  115TH                        ST,BROADWAY,1341,4086,0,3,12,0,0,0
411690,411690,222112370,1230,20,Topanga,1171,1,78,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1202,67,2,17,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,79,20100    VANOWEN                      ST,BROADWAY,3969,867,2,6,12,0,0,0
353041,353041,221410850,1151,13,Pacific,743,0,38,THEFT PLAIN - PETTY ($950 & UNDER),0344,33,2,17,1,SIDEWALK,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,39,2500    LINCOLN                      BL,BROADWAY,1955,2078,2,4,11,0,1,0
281061,281061,210106415,1610,0,Central,33,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0917 1266 1822 0334 0443 0449,46,2,7,1,SIDEWALK,32,OTHER KNIFE,3,Invest Cont,6,6TH,LOS ANGELES,2477,4083,1,1,16,0,0,0
1002,1002,221809945,1,17,Southeast,1005,1,90,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0913 2002 0522 0432 0556,8,0,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,91,10700    AVALON                       BL,BROADWAY,1427,3921,0,6,0,0,0,0
539588,539588,231214473,422,11,77th Street,661,0,14,"BURGLARY, ATTEMPTED",2000 1814 0913 1608,30,0,17,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,14,500 W  81ST                         ST,BROADWAY,1686,3746,3,5,4,0,1,0
262457,262457,210704753,1700,6,Wilshire,340,0,15,BURGLARY FROM VEHICLE,0344 1300,30,2,12,22,PARKING UNDERGROUND/BUILDING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,6200 W  3RD                          ST,BROADWAY,2739,3010,1,0,17,0,0,1
300292,300292,211917075,1,18,Mission,1055,1,26,THEFT OF IDENTITY,0928,31,0,12,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,26,9900    MEMORY PARK                  AV,BROADWAY,4538,1932,1,7,0,0,1,0
485216,485216,221306922,1000,12,Newton,708,1,78,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1202 0329 1822,58,2,7,21,"VEHICLE, PASSENGER/TRUCK",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,79,400 E  61ST                         ST,BROADWAY,1874,3894,2,1,10,0,0,0
341083,341083,221706438,1630,16,Devonshire,940,1,78,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,25,2,17,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,79,17300    LOS ALIMOS                   ST,BROADWAY,4690,1465,2,0,16,0,0,0
183896,183896,210707821,200,6,Wilshire,357,0,15,BURGLARY FROM VEHICLE,0344 1300,33,0,12,21,"VEHICLE, PASSENGER/TRUCK",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,1600    STEARNS                      DR,BROADWAY,2496,2846,1,3,2,0,0,1
6567,6567,201314196,2000,12,Newton,687,0,28,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344,37,2,7,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,28,400 E  41ST                         PL,BROADWAY,2113,3886,0,6,20,0,0,1
369342,369342,220606481,145,5,Hollywood,288,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0400 0416 2047,35,2,12,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,6,1800    WILCOX                       AV,BROADWAY,3070,3263,2,1,1,0,0,0
342061,342061,220708911,920,6,Wilshire,334,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0400 0416 0329 1402 1300 2004,36,2,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",0,Adult Arrest,6,BEVERLY,LA BREA,2793,3133,2,4,9,0,0,0
205960,205960,211510875,1800,14,N Hollywood,795,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 0906 1822 0371 0374,16,0,7,0,STREET,1,HAND GUN,3,Invest Cont,6,VINELAND,SHERMAN                      WY,4043,2870,1,5,18,0,0,0
596882,596882,230615745,1700,5,Hollywood,295,1,60,BATTERY - SIMPLE ASSAULT,1210 0444 0400 1822 0416 1501,41,0,12,1,SIDEWALK,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,6900    HOLLYWOOD                    BL,BROADWAY,3046,3172,3,8,17,1,0,0
567283,567283,231711272,2050,16,Devonshire,927,1,107,TRESPASSING,1501 1300 0216,49,0,12,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,108,11800    ANDASOL                      AV,BROADWAY,4882,1431,3,4,20,0,0,0
377327,377327,221420092,330,13,Pacific,758,0,13,BURGLARY,0344,31,2,12,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,13,12900 W  FIELDING CIR,BROADWAY,1820,2456,2,11,3,0,1,0
671103,671103,241505577,1000,14,N Hollywood,850,0,17,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,22,2,7,60,RESTAURANT/FAST FOOD,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,17,3600    CAHUENGA                     BL,BROADWAY,3374,2982,4,0,10,0,0,0
503098,503098,231717246,930,16,Devonshire,981,0,14,"BURGLARY, ATTEMPTED",1607 0329,22,2,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,14,8500    DE SOTO                      AV,BROADWAY,4275,693,3,10,9,0,1,0
485488,485488,221313513,1900,12,Newton,690,1,60,BATTERY - SIMPLE ASSAULT,1309 1310 0342 1822 1300 0446 1202 0416,57,0,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,LONG BEACH                   ST,VERNON                       AV,2070,4142,2,5,19,1,0,0
513333,513333,231415769,346,13,Pacific,749,0,13,BURGLARY,0349 1607,43,2,17,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,13,4000    GLENCOE                      AV,BROADWAY,1949,2127,3,7,3,0,1,0
532581,532581,231714673,3,16,Devonshire,948,0,4,ROBBERY,0416 0344 1822 2024 0305,27,0,2,104,GAS STATION,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,4,21900    DEVONSHIRE                   ST,BROADWAY,4601,532,3,8,0,1,0,0
306162,306162,210122417,1920,0,Central,32,1,122,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1814 2000 0913 1218,25,0,2,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",73,VERBAL THREAT,3,Invest Cont,123,100 W  5TH                          ST,BROADWAY,2498,4088,1,11,19,0,0,0
167880,167880,211716540,1443,16,Devonshire,957,1,26,THEFT OF IDENTITY,1822 0922,20,0,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,26,21400    PLUMMER                      ST,BROADWAY,4456,604,1,11,14,0,1,0
18792,18792,200617891,1915,5,Hollywood,292,0,4,ROBBERY,1822 0400 0448 0344 0429,48,0,12,1,SIDEWALK,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,4,HAWTHORN,CURSON,3030,3023,0,10,19,1,0,0
287614,287614,211504556,1800,14,N Hollywood,792,0,13,BURGLARY,1602 0344 0352 0321 0397,45,2,7,71,PUBLIC STORAGE,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,13,11600    SHERMAN                      WY,BROADWAY,4043,2722,1,0,18,0,1,0
213019,213019,212008277,1045,19,Olympic,1092,0,28,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0344 0385,48,2,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,28,100 S  OXFORD                       AV,BROADWAY,2742,3494,1,3,10,0,0,1
223182,223182,210612557,1800,5,Hollywood,305,0,15,BURGLARY FROM VEHICLE,0344 1822 0377,28,2,7,3,DRIVEWAY,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,6200    BANNER                       AV,BROADWAY,2948,3319,1,5,18,0,0,1
397881,397881,221420580,200,13,Pacific,718,1,26,THEFT OF IDENTITY,1822 0930,38,2,17,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,26,3800 S  MOTOR                        AV,BROADWAY,2271,2483,2,8,2,0,1,0
494677,494677,231421596,630,13,Pacific,782,0,17,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,72,0,12,62,TRANSPORTATION FACILITY (AIRPORT),62,UNKNOWN WEAPON/OTHER WEAPON,3,Invest Cont,17,300    WORLD                        WY,BROADWAY,1487,2572,3,10,6,0,0,0
410455,410455,222013382,130,19,Olympic,1103,0,15,BURGLARY FROM VEHICLE,0344 0377 0929 0930 1822,41,0,7,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,300 S  NEW HAMPSHIRE                AV,BROADWAY,2722,3644,2,6,1,0,0,1
55790,55790,200318335,1800,2,Southwest,138,1,60,BATTERY - SIMPLE ASSAULT,0305 0419 0448 0603 0913 1251 1258,10,0,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,3600    ARLINGTON                    AV,BROADWAY,2253,3396,0,9,18,1,0,0
315842,315842,221307441,1200,12,Newton,696,0,2,"RAPE, FORCIBLE",0527 0522 1258 0913,4,0,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",0,Adult Arrest,2,200 E  51ST                         ST,BROADWAY,1996,3855,2,1,12,0,0,0
52689,52689,201610184,125,15,Foothill,885,1,60,BATTERY - SIMPLE ASSAULT,0400 0416 0913 0602,55,2,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,61,10100    MOUNTAIR                     AV,BROADWAY,4552,3641,0,5,1,1,0,0
652325,652325,231907794,1010,18,Mission,1086,0,84,BRANDISH WEAPON,1402 0334 0443 0361 0913 1261,29,2,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",13,AIR PISTOL/REVOLVER/RIFLE/BB GUN,0,Adult Arrest,85,8000    WOODMAN                      AV,BROADWAY,4195,2264,3,3,10,1,0,0
478760,478760,221405874,2245,13,Pacific,776,1,60,BATTERY - SIMPLE ASSAULT,2004 1822 0416,56,2,7,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,6200 W  MANCHESTER                   AV,BROADWAY,1629,2638,2,1,22,1,0,0
676413,676413,240306852,1900,2,Southwest,139,0,22,"THEFT, PERSON",0344 1822 1251 2050 0910 0346,20,0,1,281,MTA - EXPO LINE - EXPO/WESTERN,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,22,EXPOSITION,WESTERN,2216,3484,4,1,19,0,1,0
577388,577388,231409547,1230,13,Pacific,726,0,38,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,42,2,7,39,PATIO*,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,39,1300    PALMS                        BL,BROADWAY,2066,1975,3,2,12,0,1,0
57233,57233,202108204,1140,20,Topanga,1160,1,60,BATTERY - SIMPLE ASSAULT,0416 2004,49,2,17,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",0,Adult Arrest,61,WYANDOTTE                    ST,VASSAR                       AV,4058,537,0,3,11,1,0,0
452770,452770,221211819,2035,11,77th Street,658,1,60,BATTERY - SIMPLE ASSAULT,0913 0400 0444 0429 1813 2000,47,0,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,800 E  76TH                         ST,BROADWAY,1743,3965,2,4,20,1,0,0
254014,254014,210706554,2030,6,Wilshire,334,0,15,BURGLARY FROM VEHICLE,0344 1300 1309,46,2,17,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,100 N  LA BREA                      AV,BROADWAY,2757,3110,1,2,20,0,0,1
646201,646201,231809148,1530,17,Southeast,990,0,17,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2049 0344 1822 0910,54,2,1,208,MTA BUS,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,17,VERMONT                      AV,94TH                         ST,1541,3657,3,3,15,0,0,0
514001,514001,230320928,1630,2,Southwest,147,1,60,BATTERY - SIMPLE ASSAULT,0416 0446 1822,17,0,2,53,OTHER BUSINESS,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,2100 W  MARTIN LUTHER KING JR        BL,BROADWAY,2179,3351,3,11,16,1,0,0
543567,543567,231816520,2200,17,Southeast,995,0,13,BURGLARY,1300 0321 0344 1601 0352 1822,22,0,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,13,8800    AVALON                       BL,BROADWAY,1572,3922,3,8,22,0,1,0
127201,127201,201005932,2200,9,West Valley,531,1,79,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0913 0447 2000 1813,50,2,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,80,6100    CANBY                        AV,BROADWAY,3894,1227,0,1,22,0,1,0
394519,394519,221907954,800,18,Mission,1077,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 1822 0432 0334,36,0,7,0,STREET,8,SEMI-AUTOMATIC PISTOL,1,Adult Other,6,NORDHOFF,CEDROS,4293,2080,2,3,8,0,0,0
586978,586978,231718264,1305,16,Devonshire,975,0,38,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,36,0,17,15,OTHER/OUTSIDE,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,39,20000    LONDELIUS                    ST,BROADWAY,4320,889,3,10,13,0,1,0
619481,619481,231312578,800,12,Newton,673,0,16,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,29,0,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,16,800 E  PICO                         BL,BROADWAY,2346,4062,3,5,8,0,0,0
530758,530758,230307882,2300,2,Southwest,151,0,17,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,25,0,17,194,"SPORTS VENUE, OTHER",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,17,700    EXPOSITION                   BL,BROADWAY,2212,3727,3,1,23,0,0,0
301672,301672,210807271,2300,7,West LA,441,1,78,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,45,0,2,22,PARKING UNDERGROUND/BUILDING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,79,1900 S  ROBERTSON                    BL,BROADWAY,2477,2706,1,2,23,0,0,0
529059,529059,230510205,1200,4,Harbor,249,1,62,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0444 1814,17,0,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,63,800 N  MARINE                       AV,BROADWAY,535,3935,3,5,12,1,0,0
232338,232338,211109336,2325,10,Northeast,597,1,62,INTIMATE PARTNER - SIMPLE ASSAULT,1814 0913 0416 2000,53,0,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,63,2800    MARSH                        ST,BROADWAY,3073,4086,1,5,23,1,0,0
81284,81284,201610065,2150,15,Foothill,865,1,112,CONTEMPT OF COURT,1814 2000 2038,43,0,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,113,13800    JUDD                         ST,BROADWAY,4644,2238,0,5,21,0,0,0
465844,465844,221415973,1100,13,Pacific,763,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1309 0329 1822 0919,21,0,2,0,STREET,13,AIR PISTOL/REVOLVER/RIFLE/BB GUN,3,Invest Cont,6,CENTINELA,LA CIENEGA                   BL,1804,2871,2,8,11,0,0,0
360866,360866,220215963,1925,1,Rampart,80,1,60,BATTERY - SIMPLE ASSAULT,0910 1822 0444,67,2,7,250,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,600 S  ALVARADO                     ST,BROADWAY,2626,3824,2,8,19,1,0,0
530247,530247,230125671,1900,0,Central,22,1,60,BATTERY - SIMPLE ASSAULT,0340 0416,25,2,12,1,SIDEWALK,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,5TH                          ST,FLOWER                       ST,2547,4012,3,11,19,1,0,0
471419,471419,221605207,1000,15,Foothill,857,1,60,BATTERY - SIMPLE ASSAULT,0416 1258 0913,9,0,7,181,SPECIALTY SCHOOL/OTHER,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",5,Juv Other,61,13300    VAUGHN                       ST,BROADWAY,4843,2345,2,1,10,1,0,0
164517,164517,212110490,1145,20,Topanga,1169,1,109,VIOLATION OF COURT ORDER,2038,62,0,17,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",0,Adult Arrest,110,6800    REMMET                       AV,BROADWAY,3969,577,1,5,11,0,0,0
674234,674234,241404287,930,13,Pacific,757,0,15,BURGLARY FROM VEHICLE,0344 1612,39,2,7,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,12900 W  JEFFERSON                    BL,BROADWAY,1836,2462,4,0,9,0,0,1
461222,461222,222017461,1900,19,Olympic,1119,1,60,BATTERY - SIMPLE ASSAULT,0416 0429 1822,59,0,1,110,MARKET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,61,3200 W  OLYMPIC                      BL,BROADWAY,2557,3510,2,10,19,1,0,0
54752,54752,200304397,1700,2,Southwest,157,1,109,VIOLATION OF COURT ORDER,0913 2038,51,0,2,178,POLICE FACILITY,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,110,1500 W  MARTIN LUTHER KING JR        BL,BROADWAY,2140,3461,0,0,17,0,0,0
282285,282285,210218573,1700,1,Rampart,73,1,79,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0913 0361 0339 0329,50,0,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,80,1300 W  2ND                          ST,BROADWAY,2640,3987,1,11,17,0,1,0
377586,377586,221314106,830,12,Newton,691,1,124,PEEPING TOM,1202 1223 0603 0361 1822,33,0,2,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,125,4300 S  MAIN                         ST,BROADWAY,2106,3798,2,6,8,0,0,0
615802,615802,231811574,1550,17,Southeast,1010,1,62,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0416 0448 0408 0305,24,0,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",0,Adult Arrest,63,SANTA ANA,CROESUS,1395,4235,3,5,15,1,0,0
22266,22266,200115690,900,0,Central,6,1,60,BATTERY - SIMPLE ASSAULT,0910 0917 1266 2004 0913 0319 0446,34,0,2,216,LA UNION STATION (NOT LINE SPECIFIC),61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,800 N  ALAMEDA                      ST,BROADWAY,2592,4198,0,7,9,1,0,0
92473,92473,200109520,1400,0,Central,6,0,4,ROBBERY,0302 0377 0429 0344 0334 1822 0910,32,2,2,7,PARKING LOT,1,HAND GUN,3,Invest Cont,4,800 N  ALAMEDA                      ST,BROADWAY,2594,4199,0,2,14,1,0,0
97669,97669,201422194,1000,13,Pacific,725,0,57,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0344,28,2,17,159,GARAGE/CARPORT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,58,1200    7TH                          AV,BROADWAY,1977,1932,0,11,10,0,0,0
345548,345548,221518896,1740,14,N Hollywood,840,0,38,THEFT PLAIN - PETTY ($950 & UNDER),0394,38,2,17,3,DRIVEWAY,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,39,4300    COLDWATER CANYON             AV,BROADWAY,3513,2435,2,11,17,0,1,0
89373,89373,200205175,1615,1,Rampart,58,0,4,ROBBERY,1822 0344 1210 0416 0446 0334 0302 0342 0355 0319,28,2,17,7,PARKING LOT,1,HAND GUN,3,Invest Cont,4,4500    MELROSE                      AV,BROADWAY,2867,3595,0,0,16,1,0,0
22980,22980,202011773,1130,19,Olympic,1104,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1300 1822 0416,46,2,1,7,PARKING LOT,55,VEHICLE,1,Adult Other,6,16TH                         ST,ALEXANDRIA                   AV,2667,3613,0,6,11,0,0,0
302424,302424,211012153,1130,9,West Valley,534,0,15,BURGLARY FROM VEHICLE,1822 0344 1609 1420 0358 1307 1300,50,0,17,8,PARK/PLAYGROUND,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,VICTORY                      BL,BALBOA                       AV,3897,1564,1,8,11,0,0,1
637337,637337,232005345,600,19,Olympic,1129,1,26,THEFT OF IDENTITY,0930 1822 0100 0929,27,0,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,26,2900 W  15TH                         ST,BROADWAY,2485,3512,3,1,6,0,1,0
385893,385893,222115931,1930,20,Topanga,1174,0,15,BURGLARY FROM VEHICLE,0344 1609 1822,30,0,12,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,6100    TOPANGA CANYON               BL,BROADWAY,3842,522,2,9,19,0,0,1
